SNo,Name,Category,Unit Price,Aliases,Image URL,Visual Keywords,StockQty
1001,aadhar oil 13 kg tin,Oil & Ghee,1150,aadhar oil 13 kg tin,https://share.google/b1KjZuXrA6cbww0lA,aadhar oil 13 kg tin,17
1002,aashirwad salt,Salt,32,aashirwad salt,https://share.google/lwno9oqvvpk803pY1,aashirwad salt,15
1003,abida basmati rice - l,Rice,100,"biryani, abida basmati rice",https://share.google/GntLu67voKdZHzMcp,abida basmati rice,20
1004,ajwain,Spices,32,ajwain,https://share.google/480ZMqTfSIXOgJ522,ajwain,20
1005,almond whole,Dry Fruits,820,almond whole,https://share.google/Iz6B1fCTy6U5B81CH,almond whole,20
1006,amul butter 500g,Dairy,230,amul butter 500g,https://assets.hyperpure.com/data/images/products/03669d1e950fd601fd7963fc6827201e.jpg,amul butter 500g,20
1007,amul butter unsalted 500g,Dairy,290,amul butter unsalted 500g,https://share.google/PSPH5q76MDSkjvFs8,amul butter unsalted 500g,20
1008,amul ghee 1kg,Dairy,565,amul ghee 1kg,,amul ghee 1kg,14
1009,amul milk powder 1kg,Spices,445,"kheer, gulab jamun, amul milk powder",,amul milk powder 1kg,20
1010,aniseed - sounf - barik,Spices,48,"sounf, aniseed, barik",,aniseed,20
1011,aniseed - sounf - moti,Spices,48,"sounf, aniseed, moti",,aniseed,20
1012,atta ashirwad,Flour,58,"roti, chapati, paratha, atta ashirwad",,atta ashirwad,20
1013,atta ashirwad - 25kg,Flour,1150,"atta ashirwad, 25kg",,atta ashirwad,20
1014,bay leaf - tejpatta,Flour,82,"tejpatta, bay leaf",,bay leaf,20
1015,besan flour - l,Flour,92,"pakora, pakoda, kadhi, ladoo, bhaji, besan flour",,besan flour,20
1016,cardamom black,Spices,210,cardamom black,,cardamom black,20
1017,cardamom green whole,Spices,720,cardamom green whole,,cardamom green whole,20
1018,cashew broken 8pcs,Dry Fruits,720,cashew broken 8pcs,,cashew broken 8pcs,20
1019,cashewnut broken 12pc,Dry Fruits,665,cashewnut broken 12pc,,cashewnut broken 12pc,20
1020,cashewnut broken 4pec,Dry Fruits,760,cashewnut broken 4pec,,cashewnut broken 4pec,20
1021,cashewnut split - 2pc,Dry Fruits,735,"2pc, cashewnut split",,cashewnut split,20
1022,cashewnut whole,Dry Fruits,860,cashewnut whole,,cashewnut whole,20
1023,chana whole black - l,Pulses,105,chana whole black,,chana whole black,20
1024,charmagaz,Dry Fruits,360,charmagaz,,charmagaz,20
1025,chilly powder red - sri co,Spices,125,"chilly powder red, sri co",,chilly powder red,20
1026,chilly powder red - swastik,Spices,115,"chilly powder red, swastik",,chilly powder red,20
1027,cinnamam - dalchini,Spices,125,"cinnamam, dalchini",,cinnamam,20
1028,cloves - loung,Spices,310,"loung, cloves",,cloves,20
1029,coriander powder - sri co,Spices,105,"coriander powder, sri co",,coriander powder,20
1030,coriander powder - swastik,Spices,95,"swastik, coriander powder",,coriander powder,20
1031,dal black udad whole - l,Pulses,135,dal black udad whole,,dal black udad whole,19
1032,dal chana - l,Pulses,85,dal chana,,dal chana,19
1033,dal green moong whole - l,Pulses,115,dal green moong whole,,dal green moong whole,19
1034,dal kabula chana spl - l,Pulses,125,"chole, chhole, dal kabula chana spl",,dal kabula chana spl,18
1035,dal kabuli chana - l,Pulses,118,"chole, chhole, dal kabuli chana",,dal kabuli chana,17
1036,dal lobiya chowli - l,Pulses,92,dal lobiya chowli,,dal lobiya chowli,17
1037,dal rajama black - p,Pulses,135,"rajma, dal rajama black",,dal rajama black,18
1038,dal toor - l,Pulses,125,"sambar, sambhar, rasam, dal toor",,dal toor,15
1039,dal udad whole white - l,Pulses,135,dal udad whole white,,dal udad whole white,18
1040,dalchini spl - bd,Spices,155,dalchini spl,,dalchini spl,20
1041,dall moong yellow - l,Pulses,115,dall moong yellow,,dall moong yellow,20
1042,dawat royal xxxl basmati rice - l,Rice,225,"biryani, dawat royal xxxl basmati rice",,dawat royal xxxl basmati rice,18
1043,foodcoast mayonaise lite 1kg,Condiments,225,foodcoast mayonaise lite 1kg,,foodcoast mayonaise lite 1kg,20
1044,fortune atta - l,Flour,58,"roti, chapati, paratha, fortune atta",,fortune atta,20
1045,fortune sonamasoori rice - l,Rice,88,fortune sonamasoori rice,,fortune sonamasoori rice,20
1046,freedom oil 15kg tin,Oil & Ghee,2100,freedom oil 15kg tin,,freedom oil 15kg tin,20
1047,frozen green peas,Miscellaneous,105,frozen green peas,,frozen green peas,20
1048,fryola oil 15 ltr tin,Oil & Ghee,2050,fryola oil 15 ltr tin,,fryola oil 15 ltr tin,8
1049,gc tomato sauce 5kg,Condiments,460,gc tomato sauce 5kg,,gc tomato sauce 5kg,10
1050,ghee pure heritage 1l,Dairy,560,ghee pure heritage 1l,,ghee pure heritage 1l,5
1051,ghee pure vijaya 1l,Dairy,545,ghee pure vijaya 1l,,ghee pure vijaya 1l,8
1052,gold drop oil tin 15l,Oil & Ghee,1980,gold drop oil tin 15l,,gold drop oil tin 15l,10
1053,grb ghee pure 1kg,Dairy,555,grb ghee pure 1kg,,grb ghee pure 1kg,0
1054,idly rawa - l,Flour,72,"idli, dosa, idly rawa",,idly rawa,0
1055,jaggery,Sugar & Sweeteners,82,jaggery,,jaggery,10
1056,jeera - cumin seeds,Spices,205,"cumin seeds, jeera",,jeera,10
1057,jeera powder - sri co,Spices,105,"jeera powder, sri co",,jeera powder,10
1058,kababchini,Miscellaneous,205,kababchini,,kababchini,10
1059,kalonji - onion seeds,Spices,65,"onion seeds, kalonji",,kalonji,10
1060,kasoori methi 1kg,Miscellaneous,358,kasoori methi 1kg,,kasoori methi 1kg,10
1061,kohinoor 3xl basmati rice,Rice,205,"biryani, kohinoor 3xl basmati rice",,kohinoor 3xl basmati rice,10
1062,lalitha pooja hmt rice - l,Rice,72,lalitha pooja hmt rice,,lalitha pooja hmt rice,5
1063,maida flour - blue bird,Flour,52,"naan, bhatura, puri, blue bird, maida flour",,maida flour,10
1064,maida flour - fortune,Flour,56,"fortune, maida flour",,maida flour,10
1065,maida flour sl - nb,Flour,50,maida flour sl,,maida flour sl,10
1066,mayonaise - del monte 1 kg,Condiments,285,"mayonaise, del monte 1 kg",,mayonaise,10
1067,mdh chana masala 100g,Spices,71,mdh chana masala 100g,,mdh chana masala 100g,10
1068,mdh chat masala 100g,Spices,72,mdh chat masala 100g,,mdh chat masala 100g,10
1069,mdh deggi mirchi 100g,Spices,82,mdh deggi mirchi 100g,,mdh deggi mirchi 100g,10
1070,mdh deggi mirchi 500g,Spices,355,mdh deggi mirchi 500g,,mdh deggi mirchi 500g,10
1071,mdh jeera powder 100g,Spices,72,mdh jeera powder 100g,,mdh jeera powder 100g,10
1072,mdh kashmiri mirch pow 100g,Miscellaneous,82,mdh kashmiri mirch pow 100g,,mdh kashmiri mirch pow 100g,10
1073,mdh kitchen king 100g,Miscellaneous,82,mdh kitchen king 100g,,mdh kitchen king 100g,0
1074,methi seeds,Spices,52,methi seeds,,methi seeds,10
1075,milky mist paneer 1kg,Dairy,390,"biryani, milky mist paneer",,milky mist paneer 1kg,5
1076,mustard seeds,Spices,82,mustard seeds,,mustard seeds,10
1077,nieu mayonaise 1kg,Condiments,205,nieu mayonaise 1kg,,nieu mayonaise 1kg,10
1078,palm oil 1ltr,Oil & Ghee,132,palm oil 1ltr,,palm oil 1ltr,10
1079,pathar ka phool,Miscellaneous,155,pathar ka phool,,pathar ka phool,10
1080,peanuts raw plain,Dry Fruits,125,peanuts raw plain,,peanuts raw plain,10
1081,peanuts raw plain - big,Dry Fruits,145,"peanuts raw plain, big",,peanuts raw plain,0
1082,peanuts roasted plain,Dry Fruits,165,peanuts roasted plain,,peanuts roasted plain,10
1083,pepper whole black,Spices,205,pepper whole black,,pepper whole black,10
1084,poppy seeds,Spices,155,poppy seeds,,poppy seeds,10
1085,raag gold palm oil 15 kg,Oil & Ghee,1750,raag gold palm oil 15 kg,,raag gold palm oil 15 kg,10
1086,raggi flour - l,Flour,82,raggi flour,,raggi flour,10
1087,rajama white - l,Pulses,135,"rajma, rajama white",,rajama white,10
1088,refined oil - aadhar,Oil & Ghee,155,"aadhar, refined oil",,refined oil,10
1089,refined oil - freedom 1l,Oil & Ghee,145,"freedom 1l, refined oil",,refined oil,10
90,refined oil - fryola 1l,Oil & Ghee,142,"fryola 1l, refined oil",,refined oil,10
1091,refined oil - gold drop 1l,Oil & Ghee,148,"gold drop 1l, refined oil",,refined oil,10
1092,rice - hmt - lt - l,Rice,68,"hmt, rice",,rice,5
1093,rice - hmt - mahateja - l,Rice,73,"mahateja, hmt, rice",,rice,5
1094,rice pressed - poha - l,Rice,62,"rice pressed, poha",,rice pressed,0
1095,rice staff - l,Rice,65,rice staff,,rice staff,10
1096,salt powder - ankur,Spices,32,"ankur, salt powder",,salt powder,20
1097,shahjeera,Spices,155,"biryani, shahjeera",,shahjeera,30
1098,star aniseed,Spices,105,star aniseed,,star aniseed,30
1099,sugar grain,Sugar & Sweeteners,52,sugar grain,,sugar grain,30
1100,suji rawa - l,Flour,67,"halwa, sheera, upma, suji rawa",,suji rawa,30
1101,sweet corn - frozen,Miscellaneous,105,"frozen, sweet corn",,sweet corn,30
1102,tata salt,Salt,28,tata salt,,tata salt,28
1103,tilli black,Miscellaneous,105,tilli black,,tilli black,30
1104,tilli brown,Miscellaneous,105,tilli brown,,tilli brown,30
1105,tilli white - sesame seed,Spices,105,"sesame seed, tilli white",,tilli white,30
1106,tomato sauce - del monte 900g,Condiments,185,"tomato sauce, del monte 900g",,tomato sauce,30
1107,turmeric powder - sri co,Spices,105,"turmeric powder, sri co",,turmeric powder,30
1108,turmeric powder - swastik,Spices,95,"turmeric powder, swastik",,turmeric powder,30
1109,udad dall - l,Pulses,125,udad dall,,udad dall,30
1110,unity basmati rice - l,Rice,102,"biryani, unity basmati rice",,unity basmati rice,25
1111,veeba tomato sauce 900g,Condiments,185,veeba tomato sauce 900g,,veeba tomato sauce 900g,30
1112,vintage malai paneer 1kg,Dairy,360,"biryani, vintage malai paneer",,vintage malai paneer 1kg,27
1113,vintage premium paneer 1kg,Dairy,390,"biryani, vintage premium paneer",,vintage premium paneer 1kg,15
1114,yellow chilly powder,Spices,125,yellow chilly powder,,yellow chilly powder,30
1115,3 mango mirchi powder,Spices,105,3 mango mirchi powder,,3 mango mirchi powder,30
1116,521 xxxl basmati rice,Rice,205,"biryani, 521 xxxl basmati rice",,521 xxxl basmati rice,30
1117,777 nannari syrup 750ml,Beverages,185,777 nannari syrup 750ml,,777 nannari syrup 750ml,30
1118,777 sambar masala 100g,Spices,62,"sambar, sambhar, 777 sambar masala",,777 sambar masala 100g,30
1119,999 kesar yellow a.foil 1kg,Oil & Ghee,420,999 kesar yellow a.foil 1kg,,999 kesar yellow a.foil 1kg,30
1120,aachi chicken masala,Spices,82,aachi chicken masala,,aachi chicken masala,28
1121,aachi super garam masala,Spices,82,"tikka, korma, biryani, aachi super garam masala",,aachi super garam masala,30
1122,aadhar oil 15 ltr tin,Oil & Ghee,1320,aadhar oil 15 ltr tin,,aadhar oil 15 ltr tin,30
1123,aam papad,Miscellaneous,85,aam papad,,aam papad,30
1124,aashirvaad atta multigrain 5kg,Flour,315,aashirvaad atta multigrain 5kg,,aashirvaad atta multigrain 5kg,30
1125,abida basmati rice - l,Rice,100,abida basmati rice,,abida basmati rice,20
1126,ace ginger powder,Spices,65,ace ginger powder,,ace ginger powder,30
1127,ag barbeque sauce,Condiments,155,ag barbeque sauce,,ag barbeque sauce,30
1128,agnesi fusilli pasta,Pasta & Noodles,185,"pasta, noodles, agnesi fusilli pasta",,agnesi fusilli pasta,30
1129,agnesi penne pasta,Pasta & Noodles,185,"pasta, noodles, agnesi penne pasta",,agnesi penne pasta,30
1130,agnesi spaghetti,Pasta & Noodles,185,"pasta, noodles, spaghetti, agnesi spaghetti",,agnesi spaghetti,30
1131,ajinomotto,Miscellaneous,52,ajinomotto,,ajinomotto,30
1132,amul butter chiplets,Dairy,255,amul butter chiplets,,amul butter chiplets,30
133,amul cheese block,Dairy,385,amul cheese block,,amul cheese block,30
1134,amul cheese slice,Dairy,185,amul cheese slice,,amul cheese slice,30
1135,amul fresh cream,Dairy,92,amul fresh cream,,amul fresh cream,30
1136,amul mozzarella cheese,Dairy,365,amul mozzarella cheese,,amul mozzarella cheese,30
1137,baby corn tin,Miscellaneous,125,baby corn tin,,baby corn tin,30
1138,baking soda,Miscellaneous,42,baking soda,,baking soda,30
1139,bambino vermicelli,Pasta & Noodles,65,"payasam, kheer, sevai, bambino vermicelli",,bambino vermicelli,30
1140,black pepper powder,Spices,185,black pepper powder,,black pepper powder,30
1141,boost,Miscellaneous,490,boost,,boost,30
1142,bournavita,Miscellaneous,490,bournavita,,bournavita,30
1143,bru coffee,Miscellaneous,310,"coffee, kaapi, bru coffee",,bru coffee,30
1144,cashew powder,Spices,310,cashew powder,,cashew powder,50
1145,catch chana masala,Spices,72,catch chana masala,,catch chana masala,48
1146,catch meat masala,Spices,82,"kebab, kabab, tikka, catch meat masala",,catch meat masala,50
1147,catch sambar masala,Spices,72,"sambar, sambhar, catch sambar masala",,catch sambar masala,50
1148,chings dark soya sauce,Condiments,82,chings dark soya sauce,,chings dark soya sauce,50
1149,chings green chilli sauce,Condiments,82,chings green chilli sauce,,chings green chilli sauce,50
1150,chings red chilli sauce,Condiments,82,chings red chilli sauce,,chings red chilli sauce,50
1151,chings schezwan chutney,Condiments,105,chings schezwan chutney,,chings schezwan chutney,50
1152,coca cola,Beverages,48,coca cola,,coca cola,50
1153,coconut milk,Dairy,95,coconut milk,,coconut milk,50
1154,coconut oil,Oil & Ghee,175,coconut oil,,coconut oil,50
1155,coffee powder,Spices,155,coffee powder,,coffee powder,50
1156,corn flour,Flour,82,corn flour,,corn flour,50
1157,custard powder,Spices,82,custard powder,,custard powder,50
1158,dark choco chips,Miscellaneous,310,dark choco chips,,dark choco chips,50
1159,deepam oil,Oil & Ghee,105,deepam oil,,deepam oil,50
1160,diet coke,Beverages,48,diet coke,,diet coke,50
1161,ginger garlic paste,Condiments,82,ginger garlic paste,,ginger garlic paste,50
1162,hmt rice,Rice,68,hmt rice,,hmt rice,50
1163,icing sugar,Sugar & Sweeteners,82,icing sugar,,icing sugar,50
1164,india gate classic rice,Rice,185,"biryani, india gate classic rice",,india gate classic rice,50
1165,kissan tomato sauce,Condiments,105,kissan tomato sauce,,kissan tomato sauce,50
1166,lychee tin,Miscellaneous,155,lychee tin,,lychee tin,50
1167,mango pulp,Miscellaneous,85,mango pulp,,mango pulp,50
1168,nestle milkmaid,Dairy,145,nestle milkmaid,,nestle milkmaid,50
1169,paneer tofu,Dairy,125,"biryani, paneer tofu",,paneer tofu,45
1170,piri piri seasoning,Miscellaneous,125,piri piri seasoning,,piri piri seasoning,50
1171,real juice mixed,Beverages,85,real juice mixed,,real juice mixed,50
1172,real juice orange,Beverages,85,real juice orange,,real juice orange,50
1173,real juice pineapple,Beverages,85,real juice pineapple,,real juice pineapple,50
1174,red bull,Beverages,135,red bull,,red bull,50
1175,red label tea,Miscellaneous,225,"chai, tea, red label tea",,red label tea,50
1176,rose water,Miscellaneous,82,rose water,,rose water,50
1177,saffron,Spices,520,saffron,,saffron,50
1178,tabasco sauce,Condiments,205,tabasco sauce,,tabasco sauce,50
1179,tamarind paste,Condiments,72,tamarind paste,,tamarind paste,50
1180,tomato paste,Condiments,82,tomato paste,,tomato paste,50
1181,vanilla essence,Miscellaneous,65,vanilla essence,,vanilla essence,50
1182,water chestnut,Miscellaneous,155,water chestnut,,water chestnut,50
1183,wheat starch,Flour,92,wheat starch,,wheat starch,50
1184,whipping cream,Dairy,210,whipping cream,,whipping cream,50
1185,white chocolate slab,Beverages,310,white chocolate slab,,white chocolate slab,50
1186,white peas dry,Miscellaneous,82,white peas dry,,white peas dry,50
1187,white pepper powder,Spices,165,white pepper powder,,white pepper powder,50
1188,yeast,Miscellaneous,65,yeast,,yeast,50
1189,abida basmati rice - lajwain,Rice,105,"biryani, abida basmati rice - lajwain",,abida basmati rice - lajwain,50
1190,kandi podi 3kg,Spices,680,kandi podi,https://share.google/KandiPodi3Kg,kandi podi,50
1191,badshah pav bhaji masala,Spices,250,badshah pav bhaji masala,,pav bhaji masala,50
1192,sabudana (sago),Miscellaneous,85,sago sabudana,https://drive.google.com/file/d/1m3JYn218LnX14c9QDjwFEqkivDjlT3iv/view?usp=sharing,sabudana,50
